SRC,MISSION_TIME,SS_TIME,ID,EVENT_INFO
SW_EM,2018-08-26 13:33:59.363,2018-08-26 13-33-58,EVENT,LOW_MEMORY 99.092MB
SW_EM,2018-08-26 13:34:00.350,2018-08-26 13-33-59,EVENT,LOW_MEMORY 98.964MB
SW_EM,2018-08-26 13:34:01.351,2018-08-26 13-34-00,EVENT,LOW_MEMORY 98.932MB
SW_EM,2018-08-26 13:34:02.345,2018-08-26 13-34-01,EVENT,LOW_MEMORY 98.712MB
SW_EM,2018-08-26 13:34:03.345,2018-08-26 13-34-02,EVENT,LOW_MEMORY 98.752MB
SW_EM,2018-08-26 13:34:04.345,2018-08-26 13-34-03,EVENT,LOW_MEMORY 98.88MB
SW_EM,2018-08-26 13:34:05.363,2018-08-26 13-34-04,EVENT,LOW_MEMORY 98.856MB
SW_EM,2018-08-26 13:34:06.358,2018-08-26 13-34-05,EVENT,LOW_MEMORY 98.98MB
SW_EM,2018-08-26 13:34:06.550,2018-08-26 13-34-06,EVENT,LOW_MEMORY 98.824MB
SW_EM,2018-08-26 13:34:08.361,2018-08-26 13-34-07,EVENT,LOW_MEMORY 98.84MB
SW_EM,2018-08-26 13:34:09.364,2018-08-26 13-34-08,EVENT,LOW_MEMORY 98.88MB
SW_EM,2018-08-26 13:34:10.348,2018-08-26 13-34-09,EVENT,LOW_MEMORY 98.88MB
SW_EM,2018-08-26 13:34:11.348,2018-08-26 13-34-10,EVENT,LOW_MEMORY 98.896MB
SW_EM,2018-08-26 13:34:12.359,2018-08-26 13-34-11,EVENT,LOW_MEMORY 98.888MB
SW_EM,2018-08-26 13:34:13.361,2018-08-26 13-34-12,EVENT,LOW_MEMORY 98.832MB
SW_EM,2018-08-26 13:34:14.362,2018-08-26 13-34-13,EVENT,LOW_MEMORY 98.972MB
SW_EM,2018-08-26 13:34:15.335,2018-08-26 13-34-14,EVENT,LOW_MEMORY 98.848MB
SW_EM,2018-08-26 13:34:15.962,2018-08-26 13-34-15,EVENT,LOW_MEMORY 98.864MB
SW_EM,2018-08-26 13:34:26.196,2018-08-26 13-34-16,EVENT,LOW_MEMORY 98.816MB
SW_EM,2018-08-26 13:34:27.574,2018-08-26 13-34-17,EVENT,LOW_MEMORY 98.572MB
SW_EM,2018-08-26 13:34:27.725,2018-08-26 13-34-18,EVENT,LOW_MEMORY 98.832MB
SW_EM,2018-08-26 13:34:28.033,2018-08-26 13-34-19,EVENT,LOW_MEMORY 98.652MB
SW_EM,2018-08-26 13:34:28.182,2018-08-26 13-34-20,EVENT,LOW_MEMORY 98.856MB
SW_EM,2018-08-26 13:34:28.275,2018-08-26 13-34-21,EVENT,LOW_MEMORY 98.776MB
SW_EM,2018-08-26 13:34:28.426,2018-08-26 13-34-22,EVENT,LOW_MEMORY 98.8MB
SW_EM,2018-08-26 13:34:28.529,2018-08-26 13-34-23,EVENT,LOW_MEMORY 98.768MB
SW_EM,2018-08-26 13:34:28.846,2018-08-26 13-34-24,EVENT,LOW_MEMORY 98.848MB
SW_EM,2018-08-26 13:34:28.981,2018-08-26 13-34-25,EVENT,LOW_MEMORY 98.84MB
SW_EM,2018-08-26 13:34:29.116,2018-08-26 13-34-26,EVENT,LOW_MEMORY 98.8MB
SW_EM,2018-08-26 13:34:29.488,2018-08-26 13-34-27,EVENT,LOW_MEMORY 98.832MB
SW_EM,2018-08-26 13:34:29.653,2018-08-26 13-34-28,EVENT,LOW_MEMORY 98.744MB
SW_EM,2018-08-26 13:34:30.362,2018-08-26 13-34-29,EVENT,LOW_MEMORY 98.824MB
SW_EM,2018-08-26 13:34:31.302,2018-08-26 13-34-30,EVENT,LOW_MEMORY 98.824MB
