SRC,MISSION_TIME,SS_TIME,ID,SWEM_VERSION,SWEM_STATUS,CPU_USE,CPU_TEMP,MEM_FREE,TC_RX,TC_REJ,INTERN_TEMP,EXTERN_TEMP,EXTERN_PRESS,RELAT_HUMID,DERIVED_ALT,DEW_POINT
SW_EM,2018-08-26 03:42:34.539,2018-08-26 03-42-35,HK,2.5,EM_READY,51.55,63.9,434.48,0,0,36.81,-18.59,224.51,2.74,12711.21,-54.81
SW_EM,2018-08-26 03:43:04.616,2018-08-26 03-43-05,HK,2.5,EM_READY,52.43,64.5,434.248,0,0,36.63,-19.86,216.39,3.88,13021.65,-52.73
SW_EM,2018-08-26 03:43:35.784,2018-08-26 03-43-35,HK,2.5,EM_READY,57.46,64.5,433.868,0,0,36.56,-20.98,208.33,3.88,13341.87,-53.58
SW_EM,2018-08-26 03:44:04.485,2018-08-26 03-44-05,HK,2.5,EM_READY,53.42,64.5,433.612,0,0,36.50,-22.06,200.87,4.18,13649.63,-53.75
SW_EM,2018-08-26 03:44:35.431,2018-08-26 03-44-35,HK,2.5,EM_READY,54.74,64.5,433.388,0,0,36.38,-23.13,193.57,4.05,13961.62,-54.84
SW_EM,2018-08-26 03:45:05.454,2018-08-26 03-45-05,HK,2.5,EM_READY,54.95,63.9,433.168,0,0,36.31,-24.17,186.88,4.32,14258.17,-55.08
SW_EM,2018-08-26 03:45:35.503,2018-08-26 03-45-35,HK,2.5,EM_READY,53.97,63.4,432.952,0,0,36.19,-25.42,180.53,3.82,14549.78,-57.05
SW_EM,2018-08-26 03:46:05.897,2018-08-26 03-46-05,HK,2.5,EM_READY,50.67,63.9,432.5,0,0,36.06,-26.32,174.64,4.00,14829.56,-57.36
SW_EM,2018-08-26 03:46:35.635,2018-08-26 03-46-35,HK,2.5,EM_READY,51.54,63.4,432.004,0,0,36.00,-27.26,169.15,4.54,15099.15,-57.02
SW_EM,2018-08-26 03:47:05.720,2018-08-26 03-47-05,HK,2.5,EM_READY,54.07,64.5,431.936,0,0,35.88,-28.22,163.57,4.46,15382.05,-57.90
SW_EM,2018-08-26 03:47:35.796,2018-08-26 03-47-35,HK,2.5,EM_READY,53.82,64.5,431.316,0,0,35.75,-29.10,158.09,4.57,15669.55,-58.38
